quarter_index_zero_based,coarse_increment_mwh,native_increment_mwh,signed_discrepancy_mwh
3588,-0.0,-0.0003994282781266742,0.0003994282781266742
3589,-0.0,-0.0011607578468771469,0.0011607578468771469
3590,-0.0,-0.0004897237894173938,0.0004897237894173938
3591,-0.0,-0.0004593030398607952,0.0004593030398607952
3592,-0.0,-0.0014063758227748154,0.0014063758227748154
3593,-0.0,-0.0014103680763532308,0.0014103680763532308
3594,-0.0,-0.0013472390085053614,0.0013472390085053614
3595,-0.0,-0.0009012049960852724,0.0009012049960852724
3596,-0.0,-0.0007312922233236787,0.0007312922233236787
3597,-0.0,-0.00042939159638166844,0.00042939159638166844
3598,-0.0,-0.00022523839390242866,0.00022523839390242866
3599,-0.0,-0.0008900068592738345,0.0008900068592738345
3600,-0.0,-0.0001048877081510104,0.0001048877081510104
3601,-0.0,-0.0008169783962874977,0.0008169783962874977
3602,-0.0,-0.0009253927796030473,0.0009253927796030473
3603,-0.0,-0.0007581331567641812,0.0007581331567641812
3604,-0.0,-0.00030847691820636627,0.00030847691820636627
3605,-0.0,-0.0005130602539262869,0.0005130602539262869
3606,-0.0,-0.0001785249877023329,0.0001785249877023329
3607,-0.0,-0.0002524661926709031,0.0002524661926709031
3608,-0.0,-0.0001350497525593305,0.0001350497525593305
3609,-0.0,-0.0002397526568109513,0.0002397526568109513
3610,-0.0,-0.000949734620165973,0.000949734620165973
3611,-0.0,-0.0004963600079071921,0.0004963600079071921
3612,-0.0,-0.00013551242680745986,0.00013551242680745986
3613,-0.0,-0.0010189103853899134,0.0010189103853899134
3614,-0.0,-7.207968100508925e-05,7.207968100508925e-05
3615,0.0013132593293430112,0.0009006756917355298,0.00041258363760748136
3616,-7.381802025433222e-18,-0.0006776303871149544,0.000677630387114947
3617,-2.3068131329478817e-19,-6.529098157385209e-05,6.529098157385186e-05
3618,-0.001313259329343004,-0.0033062281723907697,0.0019929688430477656
3619,-0.0,-0.0007041903995260319,0.0007041903995260319
3620,0.022192325394712498,0.02214912257561204,4.320281910045673e-05
3621,9.783840404509191e-18,-0.0006119183552061496,0.0006119183552061593
3622,-0.022192325394712515,-0.023906896692354386,0.001714571297641871
3623,-0.0,-0.000805927456948514,0.000805927456948514
3624,-0.0,-0.00040749440967485757,0.00040749440967485757
3625,-0.0,-0.00019199637522499793,0.00019199637522499793
3626,-0.0,-0.0016870684931437987,0.0016870684931437987
3627,-0.0,-0.00025831988244167796,0.00025831988244167796
3628,-0.0,-0.00022792228425645236,0.00022792228425645236
3629,-0.0,-0.00029034895087095213,0.00029034895087095213
3630,-0.0,-0.0008234548506516957,0.0008234548506516957
3631,-0.0,-0.0010659229805365289,0.0010659229805365289
3632,-0.0,-0.0008100770850670684,0.0008100770850670684
3633,-0.0,-0.0006054807880547284,0.0006054807880547284
3634,-0.0,-0.00012015421904301764,0.00012015421904301764
3635,-0.0,-0.0006764307010026717,0.0006764307010026717
3636,-0.0,-0.0005585129188580219,0.0005585129188580219
3637,-0.0,-0.0005247427555082752,0.0005247427555082752
3638,-0.0,-0.0006751908933961599,0.0006751908933961599
3639,-0.0,-0.000535394150257779,0.000535394150257779
3640,-0.0,-0.00026283732638354533,0.00026283732638354533
3641,-0.0,-7.706863141282148e-05,7.706863141282148e-05
3642,-0.0,-0.0004361369031902138,0.0004361369031902138
3643,-0.0,-0.0004190844565590194,0.0004190844565590194
3644,-0.0,-0.0006183402394159519,0.0006183402394159519
3645,-0.0,-0.00020089748684498594,0.00020089748684498594
3646,-0.0,-0.0002697086805244747,0.0002697086805244747
3647,-0.0,-0.0006742674351492588,0.0006742674351492588
3648,-0.0,-0.0004337151610715669,0.0004337151610715669
3649,-0.0,-0.0002504024218954167,0.0002504024218954167
3650,-0.0,-0.0001725588367922389,0.0001725588367922389
3651,-0.0,-0.00019897407389970922,0.00019897407389970922
3652,-0.0,-4.339147524486242e-05,4.339147524486242e-05
3653,-0.0,-0.0002771675857804507,0.0002771675857804507
