source,period,capacity_mwh,reserve_mw,supply_mw,deficit_mwh,request_mwh,hydrogen_energy_mwh,hours,restarts,deficit_pct
Belgium,evaluation,8.0,0.75,0.2,3.1116552080657407e-09,1088.483630651736,1137.0646708616205,5064.0,0,2.858706479768206e-10
Belgium,evaluation,8.0,0.75,0.4,3.1202416029363932e-09,1088.483630651736,2150.603121727778,5064.0,0,2.866594880318164e-10
Germany_15min,calibration,0.5,0.25,0.0,11.853934231867694,99.054959375992,31.482031846356602,4343.0,1,11.967027503259708
Germany_15min,calibration,0.5,0.25,0.025,0.8868879418532427,99.054959375992,128.10868919013177,4343.0,1,0.8953493570037223
Germany_15min,calibration,0.5,0.25,0.05,0.103102413535978,99.054959375992,235.88640515043414,4343.0,1,0.1040860691736016
Germany_15min,calibration,0.5,0.25,0.1,1.6883055625505937e-10,99.054959375992,452.9775859928383,4343.0,1,1.704412957398869e-10
Germany_15min,calibration,0.5,0.25,0.2,1.6881997056573502e-10,99.054959375992,887.2862674666776,4343.0,1,1.704306090570686e-10
Germany_15min,calibration,0.5,0.25,0.4,1.6881997056573502e-10,99.054959375992,1755.8862674666777,4343.0,1,1.704306090570686e-10
Germany_15min,calibration,0.5,0.5,0.0,32.73178435553923,198.109918751984,70.83597992327141,4343.0,1,16.522032092959726
Germany_15min,calibration,0.5,0.5,0.025,12.895451722471195,198.109918751984,157.84210488613405,4343.0,1,6.50924083140691
Germany_15min,calibration,0.5,0.5,0.05,7.1232181951476115,198.109918751984,260.3223006255427,4343.0,1,3.595588873096883
Germany_15min,calibration,0.5,0.5,0.1,3.241670696995152,198.109918751984,473.46447404136717,4343.0,1,1.636299039147775
Germany_15min,calibration,0.5,0.5,0.2,1.3060638854684847,198.109918751984,905.8005086053173,4343.0,1,0.659262238708785
Germany_15min,calibration,0.5,0.5,0.4,1.1308914094637623,198.109918751984,1774.2206091151463,4343.0,1,0.5708403782041513
Germany_15min,calibration,0.5,0.75,0.0,61.93832631433127,297.16487812797965,108.57321117092405,4343.0,1,20.84308438618926
Germany_15min,calibration,0.5,0.75,0.025,38.65189479519028,297.16487812797965,191.0261676879462,4343.0,1,13.006885281558782
