period,capacity_mwh,eta,horizon_hours,measured_feedback,model,deficit_mwh,requested_mwh,hydrogen_energy_mwh,max_state_error,initial_inventory,terminal_inventory,deficit_pct,terminal_restoration_mwh,restored_hydrogen_energy_mwh
calibration,1.0,0.94,4.0,False,gross,18.702928063877344,313.00547608849115,2215.3463513745132,0.0496693378792532,0.5,0.3268739254217598,5.975271837924573,0.18417667508323426,2215.16217469943
calibration,1.0,0.94,4.0,False,minute,19.084508848750374,313.00547608849115,2215.2348826884668,0.0184837356913052,0.5,0.3228608001772623,6.0971804989619125,0.18844595725823157,2215.0464367312084
calibration,1.0,0.94,4.0,False,native,19.179177022588192,313.00547608849115,2214.9738553375855,0.0,0.5,0.3228900038003098,6.127425392764043,0.18841488957413852,2214.7854404480113
calibration,1.0,0.94,4.0,False,quarter,17.96883678489686,313.00547608849115,2218.1301895151314,0.1802962997697237,0.5,0.3263827153206881,5.740741986193498,0.1846992390205446,2217.945490276111
calibration,1.0,0.94,4.0,True,5minute,19.179177022588192,313.00547608849115,2214.9738553375855,0.0164516245191964,0.5,0.3228900038003098,6.127425392764043,0.18841488957413852,2214.7854404480113
calibration,1.0,0.94,4.0,True,envelope,19.179177022588192,313.00547608849115,2214.9738553375855,4.9849013805669535e-14,0.5,0.3228900038003098,6.127425392764043,0.18841488957413852,2214.7854404480113
calibration,1.0,0.94,4.0,True,gross,19.179177022588192,313.00547608849115,2214.9738553375855,0.0484569216405826,0.5,0.3228900038003098,6.127425392764043,0.18841488957413852,2214.7854404480113
calibration,1.0,0.94,4.0,True,minute,19.179177022588192,313.00547608849115,2214.9738553375855,0.0009546994868463,0.5,0.3228900038003098,6.127425392764043,0.18841488957413852,2214.7854404480113
calibration,1.0,0.94,4.0,True,native,19.179177022588192,313.00547608849115,2214.9738553375855,0.0,0.5,0.3228900038003098,6.127425392764043,0.18841488957413852,2214.7854404480113
calibration,1.0,0.94,4.0,True,quarter,19.179177022588192,313.00547608849115,2214.9738553375855,0.0550672113897543,0.5,0.3228900038003098,6.127425392764043,0.18841488957413852,2214.7854404480113
calibration,1.0,0.98,1.0,False,5minute,2.0683223416057155,313.00547608849115,2236.758864288231,0.1011072721193378,0.5,0.4682839474229062,0.660794299017622,0.032363318956218176,2236.7265009692746
calibration,1.0,0.98,1.0,False,envelope,2.2141092484669245,313.00547608849115,2236.151373448657,1.2599921106470902e-12,0.5,0.5177437430407242,0.7073707706765373,-0.017388868179909752,2236.168762316837
calibration,1.0,0.98,1.0,False,gross,2.1427557605796075,313.00547608849115,2236.2535986282674,0.02973005676368,0.5,0.5223095864829687,0.6845745280104363,-0.021863394753309284,2236.2754620230207
calibration,1.0,0.98,1.0,False,minute,2.1767440461706187,313.00547608849115,2236.2791710954925,0.0209747506108192,0.5,0.4993773904970394,0.6954332152180053,0.0006353158193475651,2236.2785357796733
calibration,1.0,0.98,1.0,False,native,2.2141092484667015,313.00547608849115,2236.151373448657,0.0,0.5,0.517743743040313,0.707370770676466,-0.017388868179506748,2236.1687623168364
calibration,1.0,0.98,1.0,False,quarter,1.9773203202033653,313.00547608849115,2237.7086652963358,0.2471077523976141,0.5,0.4680172632984415,0.6317206794312916,0.0326354456138352,2237.676029850722
calibration,1.0,0.98,1.0,True,5minute,2.2141092484667015,313.00547608849115,2236.151373448657,0.0085325252985973,0.5,0.517743743040313,0.707370770676466,-0.017388868179506748,2236.1687623168364
calibration,1.0,0.98,1.0,True,envelope,2.2141092484667015,313.00547608849115,2236.151373448657,4.9960036108132044e-14,0.5,0.517743743040313,0.707370770676466,-0.017388868179506748,2236.1687623168364
calibration,1.0,0.98,1.0,True,gross,2.2141092484667015,313.00547608849115,2236.151373448657,0.0297300567635621,0.5,0.517743743040313,0.707370770676466,-0.017388868179506748,2236.1687623168364
calibration,1.0,0.98,1.0,True,minute,2.2141092484667015,313.00547608849115,2236.151373448657,0.0010163094557678,0.5,0.517743743040313,0.707370770676466,-0.017388868179506748,2236.1687623168364
calibration,1.0,0.98,1.0,True,native,2.2141092484667015,313.00547608849115,2236.151373448657,0.0,0.5,0.517743743040313,0.707370770676466,-0.017388868179506748,2236.1687623168364
calibration,1.0,0.98,1.0,True,quarter,2.2141092484667015,313.00547608849115,2236.151373448657,0.0297300567635621,0.5,0.517743743040313,0.707370770676466,-0.017388868179506748,2236.1687623168364
calibration,1.0,1.0,1.0,False,5minute,2.2874809275770898,313.00547608849115,2243.1836325150916,0.0083618747936268,0.5,0.5207956079008103,0.7308117915899931,-0.020795607900810253,2243.2044281229923
